gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Gnai3,3250.853082583764,-0.09235825666862349,0.07255565540003825,0.0918016501227265,0.2843381257761491
Narf,3204.9884869382868,0.051436652595241175,0.08082241392530494,0.3626362975836379,0.6217054855442243
Cav2,200.79298351919212,-0.060477036032845315,0.12758644256505966,0.2984248712597441,0.561735569098033
Klf6,5066.716718491093,-0.008744128966818329,0.06869199474954855,0.8644797223217096,0.9425891064155272
Scmh1,950.1727351280513,0.15889347257306996,0.0949630943414459,0.01587035433772517,0.09147918798881546
Cox5a,4623.464674106669,-0.04869642428419367,0.05853783354639117,0.2871696357678403,0.550142009987734
Ngfr,48793.399700225804,-0.0905379679247967,0.10595104376284996,0.15095049262910912,0.38369958072747956
Wnt9a,189.5286024591599,0.017897546399654036,0.12789759708574144,0.7297418773042497,0.8782276321726801
Fer,1260.9966645438378,0.09514887902635953,0.06845310265725611,0.07249858079341577,0.24560987849650592
Xpo6,4967.219035085813,0.0167531432243289,0.05364234259655116,0.6945400743395713,0.8608949463643001
Tfe3,4684.556307947672,-0.08835087608013854,0.09633056317953384,0.15294892919206113,0.3869910565577504
Brat1,2349.2012833039216,-0.046055627873845435,0.05513216911513948,0.28970601017293335,0.5522079949854015
Gna12,7409.989499358301,-0.15435433391227324,0.051085008491297074,7.586886574540684e-4,0.010360894548247465
Dlat,4265.49339563982,0.012688632239077185,0.051035823855427265,0.7565784757923482,0.8923858978585167
Sdhd,2804.0784708924084,0.010558406673453678,0.04866814067511247,0.7881469946229586,0.9073266055855704
Ccnd2,2032.10267935324,-0.16299945822954306,0.3216886878813176,0.017145890023099724,0.09683772274394424
Gpr107,3679.7130359961116,0.047764863311122153,0.07149695575168925,0.3659778126991945,0.6251719174634139
Nalcn,3316.612868314105,0.016115786309504766,0.10062906496886087,0.779773643401767,0.9037685114248181
Drp2,519.9517108593727,0.0048225817631493886,0.09689553310977415,0.9332668696689155,0.9744834534696702
Gmpr,587.0714942992681,-0.04943824106815225,0.07027927078071988,0.34451190669626813,0.6059072288764397
Mid2,1292.892282985057,0.060843156967912176,0.06547386693346081,0.22435859769126026,0.4781400011005093
Trim25,263.9077645853029,-0.6964803524697517,0.3558950529279085,1.3846045990653942e-4,0.0029250430174109013
Dgke,2513.7035460785014,0.017730389063105857,0.04575679442848212,0.6320262798315142,0.822146889903695
Scpep1,1391.0737881280559,0.13706366847933507,0.124401315050659,0.04747415446276474,0.18833708040977007
Mnt,3250.9649006290233,-0.02659408953238301,0.06292060854390996,0.5819607194963168,0.7901325846049828
Hddc2,206.92240321741428,-0.005876041644495169,0.08198658591425148,0.9163411075732919,0.966608511019496
Pemt,143.92776720316536,-0.007972700941328573,0.09979410568455033,0.8897323086844653,0.9535168416891634
Cdh4,6615.940952691088,0.12089112560041258,0.11957393853441566,0.07112092603146275,0.24294718992111985
Ckmt1,4383.737205881836,-0.051134860905246035,0.08028579603141835,0.36394042579977626,0.6229009538698963
Comt,1342.980913824762,-0.02466581231898915,0.056094436488288844,0.5767551049507516,0.7870779660374897
Rtca,1829.5794796697598,-0.08615255463500508,0.06355678610711506,0.08483163913187633,0.27148769312196747
Dbt,833.7700360497473,0.015439512200746526,0.08193136698393912,0.78279313987953,0.9047992771920852
Dazap2,1276.3739316325646,-0.08146726847280958,0.07572901813718858,0.14345309565713607,0.37169848122550664
