gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Gnai3,3250.853082583764,-0.047352671850752565,0.07368433115499054,0.4648411108462333,0.6031721061207101
Narf,3204.9884869382868,0.09195003070747959,0.09466903141023686,0.2381226397597414,0.3696345061300444
Cav2,200.79298351919212,-0.21673313936884106,0.20464162207627778,0.08597499940809879,0.16834208277045953
Klf6,5066.716718491093,0.08564695346986965,0.08249441248473752,0.2244982732926146,0.35376355768433243
Scmh1,950.1727351280513,0.3305578217537622,0.10950716746120812,3.5271321858409423e-4,0.0015973240538672325
Cox5a,4623.464674106669,-0.05414825573412624,0.061970444840091544,0.3365469750565702,0.4796466086713909
Ngfr,48793.399700225804,-0.10315808768808789,0.12437330770489659,0.2693015968531561,0.40582497464150535
Wnt9a,189.5286024591599,-0.12720412231183134,0.20767739404764046,0.287653526242442,0.426311988402756
Fer,1260.9966645438378,0.1341924329069374,0.07254730326529447,0.035449998306772076,0.08281302468098206
Xpo6,4967.219035085813,-0.02049743393023412,0.060544863375361815,0.711107078101956,0.8080406074914943
Tfe3,4684.556307947672,-0.3109460566358007,0.13041583848058644,0.002639584698815313,0.00928717632676579
Brat1,2349.2012833039216,-0.028830363251513336,0.05788113146932805,0.5883980261531102,0.7099507185967295
Gna12,7409.989499358301,-0.09826203012084321,0.051513868110685604,0.040643917823732875,0.09255902750096905
Dlat,4265.49339563982,0.19121321528456042,0.06266887016887886,7.645606444206003e-4,0.003152948784055224
Sdhd,2804.0784708924084,0.28177139282513447,0.060578771195278,5.944323497220473e-7,5.298276182254832e-6
Ccnd2,2032.10267935324,-0.8893819104281598,0.692811855275894,0.002738546361005186,0.009590420358550534
Gpr107,3679.7130359961116,-0.04660481614350343,0.07902681587174615,0.4954169595776394,0.6325192898090135
Nalcn,3316.612868314105,0.0885645244061104,0.1358316707301763,0.36624866774569614,0.508676411014938
Drp2,519.9517108593727,-0.8373974898938807,0.1684152418464518,1.7730520571523703e-8,2.0546053847603853e-7
Gmpr,587.0714942992681,0.3067568580673097,0.09098524207156701,1.1897123397163271e-4,6.0833858865196e-4
Mid2,1292.892282985057,0.12652151840920112,0.07270848019657876,0.04775382087225273,0.10534232906597585
Trim25,263.9077645853029,-0.23891355756676963,0.23307032309250922,0.07652432709479386,0.1539988010380119
Dgke,2513.7035460785014,0.19120015634731571,0.054829277303433364,1.6145308241524297e-4,8.01927044028614e-4
Scpep1,1391.0737881280559,-0.3796868367562057,0.16459157986150424,0.0021156079415494294,0.007662469457220191
Mnt,3250.9649006290233,-0.5453058021494173,0.07996715974974092,4.4981819585730073e-13,1.0222989919871274e-11
Hddc2,206.92240321741428,-0.06323654581066979,0.10072870648935428,0.4367669649133405,0.5772634628543486
Pemt,143.92776720316536,-0.28924125360113906,0.16744167500465248,0.01514753806976505,0.041053327600300525
Cdh4,6615.940952691088,0.8587853195146073,0.17056414796634145,1.325411504561826e-8,1.5653325899513494e-7
Ckmt1,4383.737205881836,0.14255658188774778,0.09863852823369819,0.07667883727634815,0.15423414721914702
Comt,1342.980913824762,0.17169145631260319,0.06820621341299732,0.004759216507925861,0.015445186928702186
Rtca,1829.5794796697598,-0.0735567857088192,0.06422365825714735,0.20440682759725964,0.32922114308878714
Dbt,833.7700360497473,0.05947922858164016,0.10029320048507746,0.4631675577648852,0.601570853706016
Dazap2,1276.3739316325646,-0.2180794684275344,0.08921533488221692,0.004084090589637679,0.013501832496821506
Mcts1,541.8436299180719,-0.05198610816890657,0.08678472210529066,0.4779595230894923,0.6159122717246956
Trappc10,4467.382203056275,0.2469054819802614,0.07268238374694373,1.497934373983506e-4,7.522036534337067e-4
Ccm2,1476.2654849147505,-0.03842424359060602,0.06218715979178898,0.4968631902182543,0.6336362598484911
Tbrg4,1735.0233382276233,-0.008260119049289968,0.05912847584001714,0.8790203561002171,0.9235477109423129
Ndufa9,3179.5280171830495,-0.007870187873346469,0.0542115447123546,0.8759032116657647,0.9219113509272071
Lck,100.63776293412495,-0.16037560697454448,0.1804668949974084,0.16593886593916596,0.2803888821177841
Cttnbp2,148.3942605490145,0.33727465570091963,0.3863592467382184,0.04807338040329541,0.10589554717592863
Galnt1,1116.2647349891938,-0.03372885236114649,0.08673859931300931,0.6452491972509383,0.7567532716116403
Mkrn2,2278.3676856416855,-0.20304045319800032,0.11353768882603645,0.024178028610733072,0.0606321165364434
Raf1,2910.7758833194475,0.19241301087720014,0.06749693387767321,0.0014601020757273344,0.005525510712383812
Pdgfb,127.11653984492035,0.35070263423275894,0.361536991700023,0.03960564872767551,0.09068533043116
Tamalin,162.7639684415174,-1.0129973814991389,0.22548850362503925,2.1766199621312682e-7,2.0930214436793883e-6
Acvr1b,3850.1787107937844,0.21351288907284025,0.0717965581059388,8.294290897268732e-4,0.003378606986526331
Tom1l2,10548.767012544286,-0.11016131767470054,0.08578436137218991,0.1291017753655584,0.2310775456194345
Zfp385a,654.180809472768,0.12979495853727632,0.10679331760551777,0.1266280950509853,0.22754265132575302
Itga5,76.29490116280165,-3.6141059572006387,0.4298537509542865,5.184347438059516e-19,2.456184297769889e-17
Gabra2,2786.4793774238997,0.2500157414185631,0.16526939108218938,0.030987899566754674,0.07424799588859834
Wdr77,2149.139009263895,0.09032153023331337,0.08098018799797152,0.1939141946320939,0.3159570171267371
Atp5pb,6161.4636314181835,-0.07230356290252211,0.043299347956576334,0.07923505802712641,0.1582132346860339
Hnrnpd,1431.9136345626544,-0.368672760155637,0.16725893084474985,0.0029483707314057342,0.010207428518677862
Dynlt1c,549.9910830934591,0.15238146521050475,0.1347822617259916,0.12413382401626208,0.22390986150714837
C1d,801.2356079883605,0.08016115264253733,0.10065139653466063,0.3241694852217737,0.46644385254939313
Gm2a,1117.2914113216095,0.08995417987309057,0.089276146574499185,0.22873905648822235,0.35911246703311506
Krit1,1577.2120147649982,0.4225447130229142,0.10248343263282553,3.5185400919315932e-6,2.623570027385797e-5
Clcn4,4271.329870448716,-0.5421485431463994,0.07175828197574713,2.0983549518192235e-15,6.445769650002293e-14
Sema4f,10513.847025492818,0.08220588543915112,0.07420877428835852,0.20622490519760192,0.33154246700914386
Hk2,608.5207126475412,0.03191262013861119,0.27409286512396913,0.7832353218372152,0.8592708135367667
Myo18a,7459.730787930206,0.1013057427227022,0.058575669360043804,0.05869705492756029,0.1241466900064711
Sez6,4903.477671932791,0.2111582100060474,0.25117936885343684,0.11868333751518152,0.21602807159188053
Hoxb6,144.50451954153073,0.7262246575854757,0.1888438118642596,3.0546676568292852e-6,2.3095022003366544e-5
Kat2b,315.94039034670215,-0.6283110562992242,0.2241723168495764,1.5714037784804615e-4,7.841205423840879e-4
Rab5b,5912.375288651731,0.031309367930906336,0.04832508588970593,0.49183483019709323,0.6291849037665173
Spg7,2090.0108159934766,0.0683259541872465,0.12191579047720864,0.45697276537229364,0.5959126110370435
Rpl13,6315.3407331883045,-0.11955109175589003,0.08380189036278249,0.09377271932712374,0.1799250923507225
Chmp1a,3513.001935758113,-0.0510662609641256,0.05393105369628883,0.30807104978938765,0.4492521655266864
Rpa1,1889.1167563362828,0.9821706235603015,0.13704074402434877,3.689215744087293e-14,9.587291041280016e-13
