gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Gnai3,3250.853082583764,-0.05077183055537875,0.07299514388046031,0.3969711489938079,0.5431401325453433
Narf,3204.9884869382868,-0.03784597712058234,0.08875661818709268,0.5924984444729178,0.7198365336517663
Cav2,200.79298351919212,0.07184514023167414,0.16515806142048187,0.4883908442852117,0.6302774667265832
Klf6,5066.716718491093,-0.03643143602930863,0.07786628366811124,0.566481388381624,0.6998212558504507
Scmh1,950.1727351280513,-0.0688654112652707,0.09259782478348247,0.34566350623653375,0.4913319951328897
Cox5a,4623.464674106669,0.011525997478936938,0.057324874468609434,0.8120145763036406,0.883369738665393
Ngfr,48793.399700225804,-0.13045844762672618,0.1289628919673053,0.15985757188864558,0.27664028807591123
Wnt9a,189.5286024591599,0.4661873204806633,0.31932653262403105,0.010062812228596616,0.029213698098480585
Fer,1260.9966645438378,-0.03312972410088631,0.0664164846499868,0.5486115931305091,0.684264641978697
Xpo6,4967.219035085813,-0.006175176814172075,0.0561901417394041,0.896802536759137,0.9398394036167318
Tfe3,4684.556307947672,0.4603441182101239,0.13675769883223982,4.8415157512673873e-5,2.7571794278368785e-4
Brat1,2349.2012833039216,-0.072945938786663,0.06080743804104136,0.152093368778704,0.26566734495406635
Gna12,7409.989499358301,-0.046758310554448644,0.05107208795347829,0.27186631691709284,0.41359136615842285
Dlat,4265.49339563982,-0.2087616225276,0.06219971467995678,2.699627524019413e-4,0.0012780173651372455
Sdhd,2804.0784708924084,-0.22965960644850336,0.05968660110069829,3.416688749972495e-5,2.0440394376960267e-4
Ccnd2,2032.10267935324,0.24034156669068535,0.39146331388232875,0.11585024065379763,0.21618592097765174
Gpr107,3679.7130359961116,0.06998480455202338,0.08052703128784594,0.2835032196671638,0.4264447757784861
Nalcn,3316.612868314105,-0.16883926110824213,0.15178386364578772,0.10325629185388714,0.1974710453432979
Drp2,519.9517108593727,0.965985362529735,0.16504683987717847,1.717093717120154e-10,2.8089190448188657e-9
Gmpr,587.0714942992681,-0.35941324782217476,0.09261618815720428,9.504266256173495e-6,6.450333429396426e-5
Mid2,1292.892282985057,-0.11980791041542707,0.07470564291778749,0.05665231173731836,0.12210729238500222
Trim25,263.9077645853029,-0.029507371328202647,0.1723453672736731,0.7773691917464068,0.8605764090889043
Dgke,2513.7035460785014,-0.15144833378961126,0.05431024570312292,0.002638392650960098,0.009349747029495538
Scpep1,1391.0737881280559,1.1640308101281032,0.16478993457204094,4.2255087813294776e-14,1.1749394394676413e-12
Mnt,3250.9649006290233,0.658268018163391,0.07928789668292761,9.865813753998598e-18,4.29291005344694e-16
