gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Gnai3,3250.853082583764,6.562208848266074e-4,0.02262315434246746,0.915224482495445,0.9877692814720666
Narf,3204.9884869382868,-0.0019347910148576279,0.028405862528853357,0.7900017705629726,0.9691508356097085
Cav2,200.79298351919212,1.4066679052453766e-4,0.04400478249949311,0.985676889597235,0.9974149773535961
Klf6,5066.716718491093,0.006284330644845593,0.03057412672814286,0.4161844294409978,0.8877738113355174
Scmh1,950.1727351280513,0.001607806250988722,0.028078371292959536,0.823560455792501,0.9743138023911381
Cox5a,4623.464674106669,0.001831392249108455,0.019627799431104594,0.7329667266789366,0.9607141336491236
Ngfr,48793.399700225804,-0.010326806473115435,0.04533490021967784,0.28277645306693133,0.8500916986484164
Wnt9a,189.5286024591599,0.010604256259043881,0.06216850761483758,0.2415899758431543,0.8278576923724852
Fer,1260.9966645438378,-0.0017042094970631176,0.02151309102240261,0.771532169280837,0.9652942135391811
Xpo6,4967.219035085813,-0.005778137728863415,0.025022335200885575,0.3713695562996756,0.8749586576317886
Tfe3,4684.556307947672,0.06458768072029986,0.10781777240082394,0.012896995096311994,0.3337503899083427
Brat1,2349.2012833039216,-0.005778373213242488,0.02430920855499662,0.356095147125884,0.8715742655147644
Gna12,7409.989499358301,9.120150429559921e-4,0.015180794738286279,0.8267764679153504,0.9743138023911381
Dlat,4265.49339563982,-0.0032106421861024513,0.020283694635492948,0.5523963882883125,0.9268756350101796
Sdhd,2804.0784708924084,0.002942143715202871,0.019148382071259927,0.5642727974627588,0.9288655172230902
Ccnd2,2032.10267935324,0.005801924765028216,0.06586806168540607,0.33704657220170114,0.8698292018907051
Gpr107,3679.7130359961116,-0.0035571349584867054,0.02652906661557258,0.6081757235263106,0.936729690885885
Nalcn,3316.612868314105,-0.009434154827863764,0.046836927199760625,0.3144367868101587,0.8673405692995947
Drp2,519.9517108593727,0.005910136423868777,0.04015446501717216,0.4901512779175322,0.9108247924545517
Gmpr,587.0714942992681,0.0023233699412060606,0.02472423865416203,0.7244067861705332,0.9596781867839799
Mid2,1292.892282985057,-0.009469732269431166,0.03262294423671798,0.2507050322166372,0.8309308590583395
Trim25,263.9077645853029,0.021140967778588995,0.08288361040934092,0.07986974081768625,0.6448348394986547
Dgke,2513.7035460785014,0.0012038325822541405,0.015635423102737203,0.7783145606189271,0.9678997622190615
Scpep1,1391.0737881280559,0.06613179564475123,0.12419999182353218,0.012052197650647705,0.323127300824939
Mnt,3250.9649006290233,0.028071351556653436,0.055881402349493875,0.05800659560362375,0.5780948581273765
Hddc2,206.92240321741428,-0.004624648102913474,0.03289814947685606,0.5614993957417165,0.9288655172230902
Pemt,143.92776720316536,-0.002674871557402693,0.03806697315514384,0.7407682791333228,0.9610093377950785
Cdh4,6615.940952691088,-0.03491136666129354,0.08625679249523473,0.04054613825954045,0.5191760198347393
Ckmt1,4383.737205881836,0.0010390514215315567,0.027776925189621063,0.8846077628051033,0.9837138595498116
Comt,1342.980913824762,-0.006872518815899786,0.02724508177006287,0.3252062977960686,0.8690598128529347
Rtca,1829.5794796697598,0.0010667676917050669,0.01954388316073308,0.8432328634926878,0.9765371132899583
Dbt,833.7700360497473,-0.08044318009579311,0.11463875538984676,0.008140135620267438,0.26514980516534153
Dazap2,1276.3739316325646,3.9067771845696805e-4,0.02422830200254623,0.9521797113615307,0.992781543613401
Mcts1,541.8436299180719,-0.002858690139522702,0.02776222377243612,0.6901731277942655,0.9541193710626101
Trappc10,4467.382203056275,0.013823581521130059,0.038069843927409974,0.15334655271197623,0.7537601102578305
Ccm2,1476.2654849147505,0.003491847631327211,0.021812571160801264,0.5475656511891842,0.9245666957359042
Tbrg4,1735.0233382276233,-0.001081308392180125,0.018224513032685196,0.8299721024063679,0.9746899610600951
